event_id,title,magnitude,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,distance_from_location,direction_from_location,location,date_time,day,month,year,City,Country,Continent,time_hour
19,"M 6.7 - 279 km E of Levuka, Fiji",6.7,2,3,green,1,691,us,0,3.745,23,mww,550,-18.3604,-178.063,279,E,"Levuka, Fiji","30-09-2018 10:52",30,9,2018,Levuka,Fiji,Oceania,10
20,"M 6.6 - 200km W of Broome, Australia",6.6,5,5,green,0,791,us,0,2.978,32,mww,10,-18.2242,120.358,200,W,"Broome, Australia","14-07-2019 05:39",14,7,2019,Broome,Australia,Oceania,5
22,"M 6.9 - 134km WSW of Kota Ternate, Indonesia",6.9,7,5,green,0,747,us,0,1.205,21,mww,35,0.5126,126.189,134,WSW,"Kota Ternate, Indonesia","07-07-2019 15:08",7,7,2019,"Kota Ternate",Indonesia,Asia,15
23,"M 7.5 - 72 km N of Palu, Indonesia",7.5,8,8,red,0,2026,us,0,1.649,13,mww,20,-0.2559,119.846,72,N,"Palu, Indonesia","28-09-2018 10:02",28,9,2018,Palu,Indonesia,Asia,10
24,"M 6.5 - 94 km NW of Vallenar, Chile",6.5,6,6,green,0,674,us,0,0.388,49,mww,16,-27.9285,-71.3937,94,NW,"Vallenar, Chile","01-09-2020 21:09",1,9,2020,Vallenar,Chile,"South America",21
25,"M 7.0 - south of the Fiji Islands",7,4,3,green,1,755,us,142,4.578,26,mwb,660,-26.0442,178.381,NULL,NULL,"the Fiji Islands","09-11-2022 09:51",9,11,2022,"the Fiji Islands",Fiji,Oceania,9
26,"M 7.1 - 18km W of Searles Valley, CA",7.1,9,9,yellow,0,1646,ci,77,0.04616,43,mw,8,35.7695,-117.599,18,W,"Searles Valley, CA","06-07-2019 03:19",6,7,2019,"Searles Valley",US,"North America",3
27,"M 6.5 - south of the Fiji Islands",6.5,4,1,green,0,651,us,0,5.139,18,mww,576,-25.415,178.199,NULL,NULL,"the Fiji Islands","16-09-2018 21:11",16,9,2018,"the Fiji Islands",Fiji,Oceania,21
28,"M 6.8 - 86 km NW of Vallenar, Chile",6.8,6,7,green,1,824,us,0,0.312,69,mww,21,-28.013,-71.1958,86,NW,"Vallenar, Chile","01-09-2020 04:09",1,9,2020,Vallenar,Chile,"South America",4
30,"M 7.3 - 292km NW of Saumlaki, Indonesia",7.3,4,6,green,1,952,us,0,2.629,16,mww,212,-6.4078,129.169,292,NW,"Saumlaki, Indonesia","24-06-2019 02:53",24,6,2019,Saumlaki,Indonesia,Asia,2
31,"M 6.9 - Kermadec Islands region",6.9,3,4,green,0,735,us,0,2.785,18,mww,115,-31.7447,-179.373,NULL,NULL,"Kermadec Islands region","10-09-2018 04:19",10,9,2018,"Kermadec Islands region","Kermadec Islands",Oceania,4
33,"M 6.7 - 60 km SSW of Boca Chica, Panama",6.7,7,6,green,1,797,us,145,1.151,37,mww,20,7.6712,-82.3396,60,SSW,"Boca Chica, Panama","20-10-2022 11:57",20,10,2022,"Boca Chica",Panama,"North America",11
34,"M 7.3 - 116km NE of L'Esperance Rock, New Zealand",7.3,8,6,green,1,830,us,0,1.402,11,mww,46,-30.6441,-178.1,116,NE,"L'Esperance Rock, New Zealand","15-06-2019 22:55",15,6,2019,"L'Esperance Rock","New Zealand",Oceania,22
35,"M 6.5 - 66 km NW of Kirakira, Solomon Islands",6.5,3,6,green,1,651,us,0,1.638,25,mww,68,-10.0207,161.503,66,NW,"Kirakira, Solomon Islands","09-09-2018 19:31",9,9,2018,Kirakira,"Solomon Islands",Oceania,19
36,"M 6.9 - 222 km SSE of Katabu, Indonesia",6.9,4,3,green,0,749,us,0,2.267,20,mww,624,-6.6704,123.493,222,SSE,"Katabu, Indonesia","21-08-2020 04:09",21,8,2020,Katabu,Indonesia,Asia,4
37,"M 6.8 - 55 km SSW of Aguililla, Mexico",6.8,8,7,yellow,1,1179,us,175,2.137,92,mww,20,18.33,-102.913,55,SSW,"Aguililla, Mexico","22-09-2022 06:16",22,9,2022,Aguililla,Mexico,"North America",6
38,"M 7.9 - 45 km S of Levuka, Fiji",7.9,7,4,green,1,979,us,0,1.431,12,mww,670.81,-18.4743,179.35,45,S,"Levuka, Fiji","06-09-2018 15:49",6,9,2018,Levuka,Fiji,Oceania,15
39,"M 6.9 - 122 km WSW of Bengkulu, Indonesia",6.9,4,4,green,0,735,us,0,1.716,25,mww,26,-4.2791,101.215,122,WSW,"Bengkulu, Indonesia","18-08-2020 22:29",18,8,2020,Bengkulu,Indonesia,Asia,22
40,"M 7.6 - 35 km SSW of Aguililla, Mexico",7.6,9,8,yellow,1,1799,us,271,1.153,69,mww,26.943,18.3667,-103.252,35,SSW,"Aguililla, Mexico","19-09-2022 18:05",19,9,2022,Aguililla,Mexico,"North America",18
41,"M 6.8 - 138 km WSW of Bengkulu, Indonesia",6.8,5,4,green,0,716,us,0,1.816,34,mww,22,-4.3724,101.095,138,WSW,"Bengkulu, Indonesia","18-08-2020 22:23",18,8,2020,Bengkulu,Indonesia,Asia,22
42,"M 6.6 - 27 km ESE of Chitose, Japan",6.6,8,9,orange,1,1075,us,0,1.13,32,mww,35,42.6861,141.929,27,ESE,"Chitose, Japan","05-09-2018 18:07",5,9,2018,Chitose,Japan,Asia,18
43,"M 6.9 - 90 km E of Yujing, Taiwan",6.9,9,9,yellow,1,887,us,215,0.401,34,mww,10,23.1444,121.307,90,E,"Yujing, Taiwan","18-09-2022 06:44",18,9,2022,Yujing,Taiwan,Asia,6
44,"M 6.6 - 32 km S of La Libertad, El Salvador",6.6,7,6,yellow,1,886,us,0,1.193,22,mww,57.92,13.1994,-89.3056,32,S,"La Libertad, El Salvador","30-05-2019 09:03",30,5,2019,"La Libertad","El Salvador","North America",9
45,"M 6.6 - 13 km E of San Pedro, Philippines",6.6,9,8,yellow,1,784,us,0,5.128,14,mww,10,12.0065,124.13,13,E,"San Pedro, Philippines","18-08-2020 00:03",18,8,2020,"San Pedro",Philippines,Asia,0
46,"M 7.1 - 238 km ESE of Tadine, New Caledonia",7.1,2,5,green,1,776,us,0,2.548,23,mww,21.43,-22.0295,170.126,238,ESE,"Tadine, New Caledonia","29-08-2018 03:51",29,8,2018,Tadine,"New Caledonia",Oceania,3
47,"M 8.0 - 78 km NE of Navarro, Peru",8,9,8,orange,1,1890,us,0,3.18,17,mww,122.57,-5.8119,-75.2697,78,NE,"Navarro, Peru","26-05-2019 07:41",26,5,2019,Navarro,Peru,"South America",7
48,"M 7.8 - 99 km SSE of Perryville, Alaska",7.8,9,7,green,1,1111,us,0,0.621,60,mww,28,55.1079,-158.477,99,SSE,"Perryville, Alaska","22-07-2020 06:12",22,7,2020,Perryville,US,"North America",6
49,"M 7.1 - 136 km W of Inapari, Peru",7.1,0,3,green,0,776,us,0,3.77,12,mww,630,-11.0355,-70.8284,136,W,"Inapari, Peru","24-08-2018 09:04",24,8,2018,Inapari,Peru,"South America",9
50,"M 7.0 - 114 km NNW of Popondetta, Papua New Guinea",7,6,7,green,1,820,us,0,1.671,18,mww,73,-7.847,147.755,114,NNW,"Popondetta, Papua New Guinea","17-07-2020 02:50",17,7,2020,Popondetta,"Papua New Guinea",Oceania,2
51,"M 7.6 - 46km SSE of Namatanai, Papua New Guinea",7.6,7,7,green,1,929,us,0,0.453,16,mww,10,-4.051,152.597,46,SSE,"Namatanai, Papua New Guinea","14-05-2019 12:58",14,5,2019,Namatanai,"Papua New Guinea",Oceania,12
52,"M 6.5 - 96 km SE of Lugu, Taiwan",6.5,7,7,green,1,756,us,178,0.43,54,mww,10,23.029,121.348,96,SE,"Lugu, Taiwan","17-09-2022 13:41",17,9,2022,Lugu,Taiwan,Asia,13
53,"M 6.5 - 78 km E of Lakatoro, Vanuatu",6.5,6,7,green,1,652,us,0,4.797,10,mww,9,-16.0315,168.143,78,E,"Lakatoro, Vanuatu","21-08-2018 22:32",21,8,2018,Lakatoro,Vanuatu,Oceania,22
54,"M 7.3 - 40 km ENE of Carupano, Venezuela",7.3,8,6,yellow,1,1570,us,0,1.822,15,mww,146.82,10.7731,-62.9019,40,ENE,"Carupano, Venezuela","21-08-2018 21:31",21,8,2018,Carupano,Venezuela,"South America",21
55,"M 7.0 - 209 km SSE of Isangel, Vanuatu",7,7,5,green,1,761,us,192,2.977,45,mww,137,-21.2077,170.239,209,SSE,"Isangel, Vanuatu","14-09-2022 11:04",14,9,2022,Isangel,Vanuatu,Oceania,11
56,"M 7.1 - 33km NW of Bulolo, Papua New Guinea",7.1,7,6,yellow,1,826,us,0,2.514,16,mww,146,-6.9746,146.449,33,NW,"Bulolo, Papua New Guinea","06-05-2019 21:19",6,5,2019,Bulolo,"Papua New Guinea",Oceania,21
57,"M 6.9 - 20 km NNW of Labuan Lombok, Indonesia",6.9,7,7,green,0,1206,us,0,2.453,31,mww,21,-8.319,116.627,20,NNW,"Labuan Lombok, Indonesia","19-08-2018 14:56",19,8,2018,"Labuan Lombok",Indonesia,Asia,14
58,"M 7.6 - 70 km E of Kainantu, Papua New Guinea",7.6,8,8,yellow,1,965,us,272,3.158,12,mww,116,-6.2237,146.471,70,E,"Kainantu, Papua New Guinea","10-09-2022 23:47",10,9,2022,Kainantu,"Papua New Guinea",Oceania,23
59,"M 6.8 - 98km SSW of Luwuk, Indonesia",6.8,5,6,green,1,717,us,0,0.791,28,mww,15.46,-1.8146,122.58,98,SSW,"Luwuk, Indonesia","12-04-2019 11:40",12,4,2019,Luwuk,Indonesia,Asia,11
60,"M 8.2 - 267 km E of Levuka, Fiji",8.2,5,4,green,1,1050,us,0,3.63,13,mww,600,-18.1125,-178.153,267,E,"Levuka, Fiji","19-08-2018 00:19",19,8,2018,Levuka,Fiji,Oceania,0
61,"M 6.6 - 44 km SE of Kangding, China",6.6,9,8,orange,0,1043,us,141,8.454,34,mww,12,29.7263,102.279,44,SE,"Kangding, China","05-09-2022 04:52",5,9,2022,Kangding,China,Asia,4
62,"M 6.5 - 83km ENE of Bristol Island, South Sandwich Islands",6.5,0,5,green,1,650,us,0,7.568,18,mww,38,-58.6262,-25.304,83,ENE,"Bristol Island, South Sandwich Islands","09-04-2019 17:53",9,4,2019,"Bristol Island","South Sandwich Islands",Antarctica,17
63,"M 6.5 - 124 km N of Labuan Bajo, Indonesia",6.5,5,3,green,0,743,us,0,2.719,23,mww,529,-7.3718,119.802,124,N,"Labuan Bajo, Indonesia","17-08-2018 15:35",17,8,2018,"Labuan Bajo",Indonesia,Asia,15
64,"M 6.6 - south of the Kermadec Islands",6.6,7,6,green,1,672,us,68,5.293,34,mww,30,-32.6922,-178.959,NULL,NULL,"the Kermadec Islands","14-08-2022 13:44",14,8,2022,"the Kermadec Islands","Kermadec Islands",Oceania,13
65,"M 7.0 - 22 km NNE of Azangaro, Peru",7,7,4,green,1,869,us,0,2.501,42,mww,267,-14.7131,-70.1546,22,NNE,"Azangaro, Peru","01-03-2019 08:50",1,3,2019,Azangaro,Peru,"South America",8
66,"M 6.6 - 97 km N of Batang, Indonesia",6.6,4,2,green,0,684,us,0,1.458,14,mww,533.76,-5.6368,110.678,97,N,"Batang, Indonesia","06-07-2020 22:54",6,7,2020,Batang,Indonesia,Asia,22
67,"M 7.0 - 11 km NE of Bantay, Philippines",7,9,8,yellow,1,1351,us,152,5.276,22,mww,33.729,17.5978,120.809,11,NE,"Bantay, Philippines","27-07-2022 00:43",27,7,2022,Bantay,Philippines,Asia,0
68,"M 6.5 - 108 km WSW of Adak, Alaska",6.5,6,6,green,1,655,us,0,0.576,22,mww,33.93,51.4234,-178.026,108,WSW,"Adak, Alaska","15-08-2018 21:56",15,8,2018,Adak,US,"North America",21
69,"M 7.4 - 9 km SE of Santa Maria Xadani, Mexico",7.4,8,8,orange,1,1494,us,0,0.151,30,mww,20,15.9163,-95.9533,9,SE,"Santa Maria Xadani, Mexico","23-06-2020 15:29",23,6,2020,"Santa Maria Xadani",Mexico,"North America",15
70,"M 6.5 - 107 km SSW of Tarauaca, Brazil",6.5,3,2,green,0,653,us,236,1.999,31,mww,622.73,-9.0618,-71.1647,107,SSW,"Tarauaca, Brazil","08-06-2022 00:55",8,6,2022,Tarauaca,Brazil,"South America",0
71,"M 6.9 - 36 km NW of Labuan Lombok, Indonesia",6.9,9,8,orange,0,1704,us,0,2.271,15,mww,34,-8.2581,116.438,36,NW,"Labuan Lombok, Indonesia","05-08-2018 11:46",5,8,2018,"Labuan Lombok",Indonesia,Asia,11
72,"M 7.2 - 10 km W of Azangaro, Peru",7.2,7,5,green,1,876,us,144,2.494,40,mww,236,-14.8628,-70.3081,10,W,"Azangaro, Peru","26-05-2022 12:02",26,5,2022,Azangaro,Peru,"South America",12
73,"M 7.5 - 111km ESE of Palora, Ecuador",7.5,7,7,yellow,1,1145,us,0,2.045,15,mww,145,-2.1862,-77.0505,111,ESE,"Palora, Ecuador","22-02-2019 10:17",22,2,2019,Palora,Ecuador,"South America",10
74,"M 7.4 - south of the Kermadec Islands",7.4,7,7,green,1,873,us,0,4.035,23,mww,10,-33.2938,-177.838,NULL,NULL,"the Kermadec Islands","18-06-2020 12:49",18,6,2020,"the Kermadec Islands","Kermadec Islands",Oceania,12
75,"M 6.9 - 18 km SSW of Leilani Estates, Hawaii",6.9,7,8,yellow,1,1392,hv,63,0.11,210,mw,5.81,19.3182,-155,18,SSW,"Leilani Estates, Hawaii","04-05-2018 22:32",4,5,2018,"Leilani Estates",US,"North America",22
76,"M 6.7 - 5 km SW of Puerto Madero, Mexico",6.7,6,6,yellow,1,909,us,0,0.289,43,mww,66,14.6802,-92.4527,5,SW,"Puerto Madero, Mexico","01-02-2019 16:14",1,2,2019,"Puerto Madero",Mexico,"North America",16
77,"M 6.8 - 86 km NNW of San Antonio de los Cobres, Argentina",6.8,6,5,green,1,762,us,162,1.505,30,mww,220,-23.6141,-66.7236,86,NNW,"San Antonio de los Cobres, Argentina","10-05-2022 23:06",10,5,2022,"San Antonio de los Cobres",Argentina,"South America",23
78,"M 6.8 - 38 km SE of Boyuibe, Bolivia",6.8,5,3,green,0,733,us,0,5.32,16,mww,559,-20.6588,-63.0058,38,SE,"Boyuibe, Bolivia","02-04-2018 13:40",2,4,2018,Boyuibe,Bolivia,"South America",13
79,"M 6.6 - 55 km WSW of Masachapa, Nicaragua",6.6,6,5,green,1,762,us,0,0.914,94,mww,27,11.5538,-86.9919,55,WSW,"Masachapa, Nicaragua","21-04-2022 07:42",21,4,2022,Masachapa,Nicaragua,"North America",7
80,"M 6.9 - 150 km E of Kimbe, Papua New Guinea",6.9,9,6,green,1,741,us,0,1.487,18,mww,35,-5.5321,151.5,150,E,"Kimbe, Papua New Guinea","29-03-2018 21:25",29,3,2018,Kimbe,"Papua New Guinea",Oceania,21
81,"M 7.0 - southeast of the Loyalty Islands",7,6,4,green,1,763,us,0,2.705,26,mww,10,-22.5732,170.349,NULL,NULL,"the Loyalty Islands","31-03-2022 05:44",31,3,2022,"the Loyalty Islands","the Loyalty Islands",Oceania,5
82,"M 6.7 - Prince Edward Islands region",6.7,0,3,green,0,691,us,0,7.527,17,mww,13,-43.1219,42.3568,NULL,NULL,"Prince Edward Islands region","22-01-2019 19:01",22,1,2019,"Prince Edward Islands region","Prince Edward Islands region",Africa,19
83,"M 6.7 - 140 km E of Kimbe, Papua New Guinea",6.7,5,6,green,1,696,us,0,1.507,15,mww,40,-5.5024,151.402,140,E,"Kimbe, Papua New Guinea","26-03-2018 09:51",26,3,2018,Kimbe,"Papua New Guinea",Oceania,9
84,"M 6.6 - 130 km WNW of Naze, Japan",6.6,5,4,green,1,734,us,0,2.015,18,mww,165,28.9386,128.262,130,WNW,"Naze, Japan","13-06-2020 15:51",13,6,2020,Naze,Japan,Asia,15
85,"M 6.9 - 284 km ESE of Tadine, New Caledonia",6.9,6,4,green,1,738,us,0,2.697,42,mww,10,-22.72,170.277,284,ESE,"Tadine, New Caledonia","30-03-2022 20:56",30,3,2022,Tadine,"New Caledonia",Oceania,20
86,"M 6.8 - 103 km E of Kokopo, Papua New Guinea",6.8,6,6,green,1,719,us,0,1.049,16,mww,22.86,-4.3762,153.2,103,E,"Kokopo, Papua New Guinea","08-03-2018 17:39",8,3,2018,Kokopo,"Papua New Guinea",Oceania,17
87,"M 6.8 - 48 km SW of San Pedro de Atacama, Chile",6.8,6,6,green,1,835,us,0,1.164,21,mww,112,-23.2966,-68.4204,48,SW,"San Pedro de Atacama, Chile","03-06-2020 07:35",3,6,2020,"San Pedro de Atacama",Chile,"South America",7
88,"M 6.7 - 65 km S of Hualien City, Taiwan",6.7,8,7,green,1,806,us,0,0.289,32,mww,24,23.3421,121.636,65,S,"Hualien City, Taiwan","22-03-2022 17:41",22,3,2022,"Hualien City",Taiwan,Asia,17
89,"M 6.7 - 62 km SW of Tari, Papua New Guinea",6.7,8,7,green,1,697,us,0,5.457,19,mww,20.49,-6.3043,142.612,62,SW,"Tari, Papua New Guinea","06-03-2018 14:13",6,3,2018,Tari,"Papua New Guinea",Oceania,14
90,"M 6.7 - 10 km SSW of Coquimbo, Chile",6.7,8,8,orange,1,1600,us,0,0.173,22,mww,63,-30.0404,-71.3815,10,SSW,"Coquimbo, Chile","20-01-2019 01:32",20,1,2019,Coquimbo,Chile,"South America",1
92,"M 7.3 - 57 km ENE of Namie, Japan",7.3,9,8,red,1,2397,us,0,2.936,29,mww,41,37.7015,141.587,57,ENE,"Namie, Japan","16-03-2022 14:36",16,3,2022,Namie,Japan,Asia,14
93,"M 7.5 - 32 km SW of Tari, Papua New Guinea",7.5,9,8,yellow,1,943,us,0,5.48,17,mww,25.21,-6.0699,142.754,32,SW,"Tari, Papua New Guinea","25-02-2018 17:44",25,2,2018,Tari,"Papua New Guinea",Oceania,17
94,"M 6.6 - 94 km NW of Sola, Vanuatu",6.6,5,4,green,1,671,us,0,7.818,18,mww,35,-13.336,166.875,94,NW,"Sola, Vanuatu","15-01-2019 18:06",15,1,2019,Sola,Vanuatu,Oceania,18
95,"M 6.7 - 166 km W of Pariaman, Indonesia",6.7,9,6,green,0,708,us,0,2.188,43,mww,28,-0.6831,98.6034,166,W,"Pariaman, Indonesia","13-03-2022 21:09",13,3,2022,Pariaman,Indonesia,Asia,21
96,"M 7.2 - 4 km S of Pinotepa de Don Luis, Mexico",7.2,7,7,yellow,1,1384,us,0,0.142,82,mww,22,16.3855,-97.9787,4,S,"Pinotepa de Don Luis, Mexico","16-02-2018 23:39",16,2,2018,"Pinotepa de Don Luis",Mexico,"North America",23
98,"M 7.9 - 261 km SE of Chiniak, Alaska",7.9,9,4,green,1,1870,us,0,2.585,30,mww,14.06,56.0039,-149.166,261,SE,"Chiniak, Alaska","23-01-2018 09:31",23,1,2018,Chiniak,US,"North America",9
99,"M 7.1 - 37 km W of Atiquipa, Peru",7.1,9,7,green,1,1075,us,0,4.29,23,mww,39,-15.7675,-74.7092,37,W,"Atiquipa, Peru","14-01-2018 09:18",14,1,2018,Atiquipa,Peru,"South America",9
100,"M 6.6 - 175 km SSE of Lata, Solomon Islands",6.6,4,6,green,1,671,us,0,3.403,12,mww,107,-12.0662,166.648,175,SSE,"Lata, Solomon Islands","12-05-2020 22:41",12,5,2020,Lata,"Solomon Islands",Oceania,22
101,"M 6.8 - 90km W of Tarauaca, Brazil",6.8,3,3,green,0,715,us,0,1.181,16,mww,570.41,-8.144,-71.587,90,W,"Tarauaca, Brazil","05-01-2019 19:25",5,1,2019,Tarauaca,Brazil,"South America",19
102,"M 7.5 - 203 km NNE of Barra Patuca, Honduras",7.5,8,5,green,1,1623,us,0,4.581,12,mww,19,17.4825,-83.52,203,NNE,"Barra Patuca, Honduras","10-01-2018 02:51",10,1,2018,"Barra Patuca",Honduras,"North America",2
104,"M 7.0 - 96 km ESE of Pondaguitan, Philippines",7,5,5,green,1,803,us,0,1.769,21,mww,60.21,5.8983,126.921,96,ESE,"Pondaguitan, Philippines","29-12-2018 03:39",29,12,2018,Pondaguitan,Philippines,Asia,3
105,"M 6.5 - 91 km S of Nea Anatoli, Greece",6.5,7,6,green,0,678,us,0,1.293,19,mww,10,34.1818,25.7101,91,S,"Nea Anatoli, Greece","02-05-2020 12:51",2,5,2020,"Nea Anatoli",Greece,Europe,12
106,"M 6.5 - 12 km SSW of Kawalu, Indonesia",6.5,8,7,green,0,998,us,0,2.365,28,mww,90,-7.4921,108.174,12,SSW,"Kawalu, Indonesia","15-12-2017 16:47",15,12,2017,Kawalu,Indonesia,Asia,16
107,"M 7.3 - 187 km SE of Ust'-Kamchatsk Staryy, Russia",7.3,3,7,green,1,822,us,0,4.126,23,mww,16.56,55.0999,164.699,187,SE,"Ust'-Kamchatsk Staryy, Russia","20-12-2018 17:01",20,12,2018,"Ust'-Kamchatsk Staryy",Russia,Europe,17
108,"M 6.5 - Bouvet Island region",6.5,1,5,green,1,651,us,0,17.654,23,mww,17,-54.2189,2.1628,NULL,NULL,"Bouvet Island region","13-12-2017 18:03",13,12,2017,"Bouvet Island region","Bouvet Island region",Antarctica,18
109,"M 7.0 - 85 km ENE of Tadine, New Caledonia",7,4,6,green,1,771,us,0,0.617,14,mww,10,-21.3246,168.671,85,ENE,"Tadine, New Caledonia","19-11-2017 22:43",19,11,2017,Tadine,"New Caledonia",Oceania,22
111,"M 6.6 - 74 km E of Tadine, New Caledonia",6.6,4,5,green,1,676,us,0,0.529,21,mww,13,-21.5027,168.598,74,E,"Tadine, New Caledonia","19-11-2017 15:09",19,11,2017,Tadine,"New Caledonia",Oceania,15
112,"M 6.6 - 199 km ESE of Tadine, New Caledonia",6.6,0,4,green,1,670,us,0,2.679,31,mww,10,-22.0629,169.733,199,ESE,"Tadine, New Caledonia","05-12-2018 06:43",5,12,2018,Tadine,"New Caledonia",Oceania,6
113,"M 6.5 - 18 km W of Parrita, Costa Rica",6.5,8,8,yellow,1,1153,us,0,0.225,37,mww,19.36,9.5147,-84.4865,18,W,"Parrita, Costa Rica","13-11-2017 02:28",13,11,2017,Parrita,"Costa Rica","North America",2
114,"M 7.5 - 166 km ESE of Tadine, New Caledonia",7.5,3,6,green,1,871,us,0,2.405,18,mww,10,-21.9496,169.427,166,ESE,"Tadine, New Caledonia","05-12-2018 04:18",5,12,2018,Tadine,"New Caledonia",Oceania,4
115,"M 6.6 - Kermadec Islands, New Zealand",6.6,2,7,green,1,670,us,0,0.827,46,mww,24,-30.0528,-177.74,NULL,NULL,"Kermadec Islands, New Zealand","02-03-2022 12:52",2,3,2022,"Kermadec Islands","New Zealand",Oceania,12
116,"M 7.3 - 29 km S of ?alabja, Iraq",7.3,8,9,red,0,2790,us,0,0.284,33,mww,19,34.9109,45.9592,29,S,"?alabja, Iraq","12-11-2017 18:18",12,11,2017,?alabja,Iraq,Asia,18
117,"M 6.8 - south of the Fiji Islands",6.8,2,3,green,1,712,us,0,5.78,12,mww,535,-23.7852,-179.968,NULL,NULL,"the Fiji Islands","09-11-2022 09:38",16,2,2022,"the Fiji Islands",Fiji,Oceania,9
